cluster_domain,Higher acceptability,Conditional acceptability,higher_n_observed,conditional_n_observed,difference_points
Positive affect / clinical trust,73.57723577235772,47.695035460992905,82,47,25.88220031136482
Blood-test openness,70.67510548523207,44.927536231884055,79,46,25.74756925334801
Ethical / moral support,87.67857142857143,62.340425531914896,84,47,25.338145896656535
Low distress,82.92682926829268,60.1063829787234,82,47,22.820446289569276
Perceived screening utility,83.73015873015872,64.53900709219857,84,47,19.191151637960147
Accuracy tolerance,44.642857142857146,26.595744680851062,84,47,18.047112462006083
Equipment-intensive openness,47.42063492063492,29.891304347826086,84,46,17.52933057280883
Feasibility across pathways,73.08201058201058,55.7919621749409,84,47,17.290048407069683
Low-burden modality openness,91.1144578313253,74.54710144927537,83,46,16.567356382049923
Low aversive affect,97.59036144578313,93.35106382978724,83,47,4.239297615995895
