measure,type,effect_type,higher,conditional,effect,raw_p,disclosure_safe,fdr_p
Caregiver age at 2025-09-29,continuous,Cohen's d,"38.0 [33.0, 42.0] (n=79)","36.0 [33.0, 40.0] (n=43)",0.19006907811922005,0.247371113388125,,0.7810367884721525
Household size,continuous,Cohen's d,"4.0 [3.0, 5.0] (n=79)","4.0 [3.2, 4.8] (n=46)",0.08639634919567353,0.5597539097954327,,0.7810367884721525
Number of children,continuous,Cohen's d,"2.0 [2.0, 3.0] (n=84)","2.0 [2.0, 3.0] (n=47)",-0.025373991416839076,0.945720487664367,,0.9457204876643671
Bachelor's degree or higher,binary,Cohen's h,54/80 (68%),34/47 (72%),-0.10562365796384343,0.5680267552524746,True,0.7810367884721525
Currently employed,binary,Cohen's h,53/80 (66%),30/47 (64%),0.0507618936527543,0.7819738788084509,True,0.860171266689296
Rural area,binary,Cohen's h,18/80 (22%),8/47 (17%),0.13788824375673514,0.503522909130202,True,0.7810367884721525
Very easy healthcare access,binary,Cohen's h,60/80 (75%),32/46 (70%),0.12155024250029545,0.5081665791670895,True,0.7810367884721525
Household with ≥1 autistic child,binary,Cohen's h,35/84 (42%),24/47 (51%),-0.18872628058766971,0.29979152570870865,True,0.7810367884721525
Works with autistic people,binary,Cohen's h,28/84 (33%),17/47 (36%),-0.05958707501758198,0.7429483369277794,True,0.860171266689296
Any child with special needs/disabilities,binary,Cohen's h,39/84 (46%),25/47 (53%),-0.13536265977546247,0.45764518085519224,True,0.7810367884721525
Any premature birth,binary,Cohen's h,25/84 (30%),22/47 (47%),-0.35284522789829453,0.05104833629831983,True,0.5615316992815181
