nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
1,360431,1,360431,485603,"RING STACKER",1,360431,361496,"1",
2,360470,1,360431,485603,"RING STACKER",1,360431,361496,"1",
3,360509,1,360431,485603,"RING STACKER",1,360431,361496,"1",
4,360548,1,360431,485603,"RING STACKER",1,360431,361496,"1",
5,360587,1,360431,485603,"RING STACKER",1,360431,361496,"1",
6,360626,1,360431,485603,"RING STACKER",1,360431,361496,"1",
7,360665,1,360431,485603,"RING STACKER",1,360431,361496,"1",
8,360704,1,360431,485603,"RING STACKER",1,360431,361496,"1",
9,360743,1,360431,485603,"RING STACKER",1,360431,361496,"1",
10,360782,1,360431,485603,"RING STACKER",1,360431,361496,"1",
11,360821,1,360431,485603,"RING STACKER",1,360431,361496,"1",
12,360860,1,360431,485603,"RING STACKER",1,360431,361496,"1",
13,360899,1,360431,485603,"RING STACKER",1,360431,361496,"1",
14,360938,1,360431,485603,"RING STACKER",1,360431,361496,"1",
15,360977,1,360431,485603,"RING STACKER",1,360431,361496,"1",
16,361016,1,360431,485603,"RING STACKER",1,360431,361496,"1",
17,361055,1,360431,485603,"RING STACKER",1,360431,361496,"1",
18,361094,1,360431,485603,"RING STACKER",1,360431,361496,"1",
19,361133,1,360431,485603,"RING STACKER",1,360431,361496,"1",
20,361172,1,360431,485603,"RING STACKER",1,360431,361496,"1",
21,361211,1,360431,485603,"RING STACKER",1,360431,361496,"1",
22,361250,1,360431,485603,"RING STACKER",1,360431,361496,"1",
23,361289,1,360431,485603,"RING STACKER",1,360431,361496,"1",
24,361328,1,360431,485603,"RING STACKER",1,360431,361496,"1",
25,361367,1,360431,485603,"RING STACKER",1,360431,361496,"1",
26,361406,1,360431,485603,"RING STACKER",1,360431,361496,"1",
27,361445,1,360431,485603,"RING STACKER",1,360431,361496,"1",
28,361484,1,360431,485603,"RING STACKER",1,360431,361496,"1",
29,361523,1,360431,485603,"RING STACKER",2,361497,361824,"0",
30,361562,1,360431,485603,"RING STACKER",2,361497,361824,"0",
31,361601,1,360431,485603,"RING STACKER",2,361497,361824,"0",
32,361640,1,360431,485603,"RING STACKER",2,361497,361824,"0",
33,361679,1,360431,485603,"RING STACKER",2,361497,361824,"0",
34,361718,1,360431,485603,"RING STACKER",2,361497,361824,"0",
35,361757,1,360431,485603,"RING STACKER",2,361497,361824,"0",
36,361796,1,360431,485603,"RING STACKER",2,361497,361824,"0",
37,361835,1,360431,485603,"RING STACKER",3,361825,368097,"1",
38,361874,1,360431,485603,"RING STACKER",3,361825,368097,"1",
