nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
1,17544,1,17544,76108,"RING",1,17544,40833,"1",
2,17560,1,17544,76108,"RING",1,17544,40833,"1",
3,17576,1,17544,76108,"RING",1,17544,40833,"1",
4,17592,1,17544,76108,"RING",1,17544,40833,"1",
5,17608,1,17544,76108,"RING",1,17544,40833,"1",
6,17624,1,17544,76108,"RING",1,17544,40833,"1",
7,17640,1,17544,76108,"RING",1,17544,40833,"1",
8,17656,1,17544,76108,"RING",1,17544,40833,"1",
9,17672,1,17544,76108,"RING",1,17544,40833,"1",
10,17688,1,17544,76108,"RING",1,17544,40833,"1",
11,17704,1,17544,76108,"RING",1,17544,40833,"1",
12,17720,1,17544,76108,"RING",1,17544,40833,"1",
13,17736,1,17544,76108,"RING",1,17544,40833,"1",
14,17752,1,17544,76108,"RING",1,17544,40833,"1",
15,17768,1,17544,76108,"RING",1,17544,40833,"1",
16,17784,1,17544,76108,"RING",1,17544,40833,"1",
17,17800,1,17544,76108,"RING",1,17544,40833,"1",
18,17816,1,17544,76108,"RING",1,17544,40833,"1",
19,17832,1,17544,76108,"RING",1,17544,40833,"1",
20,17848,1,17544,76108,"RING",1,17544,40833,"1",
21,17864,1,17544,76108,"RING",1,17544,40833,"1",
22,17880,1,17544,76108,"RING",1,17544,40833,"1",
23,17896,1,17544,76108,"RING",1,17544,40833,"1",
24,17912,1,17544,76108,"RING",1,17544,40833,"1",
25,17928,1,17544,76108,"RING",1,17544,40833,"1",
26,17944,1,17544,76108,"RING",1,17544,40833,"1",
27,17960,1,17544,76108,"RING",1,17544,40833,"1",
28,17976,1,17544,76108,"RING",1,17544,40833,"1",
29,17992,1,17544,76108,"RING",1,17544,40833,"1",
30,18008,1,17544,76108,"RING",1,17544,40833,"1",
31,18024,1,17544,76108,"RING",1,17544,40833,"1",
32,18040,1,17544,76108,"RING",1,17544,40833,"1",
33,18056,1,17544,76108,"RING",1,17544,40833,"1",
34,18072,1,17544,76108,"RING",1,17544,40833,"1",
35,18088,1,17544,76108,"RING",1,17544,40833,"1",
36,18104,1,17544,76108,"RING",1,17544,40833,"1",
37,18120,1,17544,76108,"RING",1,17544,40833,"1",
38,18136,1,17544,76108,"RING",1,17544,40833,"1",
39,18152,1,17544,76108,"RING",1,17544,40833,"1",
40,18168,1,17544,76108,"RING",1,17544,40833,"1",
41,18184,1,17544,76108,"RING",1,17544,40833,"1",
42,18200,1,17544,76108,"RING",1,17544,40833,"1",
43,18216,1,17544,76108,"RING",1,17544,40833,"1",
44,18232,1,17544,76108,"RING",1,17544,40833,"1",
45,18248,1,17544,76108,"RING",1,17544,40833,"1",
46,18264,1,17544,76108,"RING",1,17544,40833,"1",
47,18280,1,17544,76108,"RING",1,17544,40833,"1",
48,18296,1,17544,76108,"RING",1,17544,40833,"1",
49,18312,1,17544,76108,"RING",1,17544,40833,"1",
50,18328,1,17544,76108,"RING",1,17544,40833,"1",
51,18344,1,17544,76108,"RING",1,17544,40833,"1",
52,18360,1,17544,76108,"RING",1,17544,40833,"1",
53,18376,1,17544,76108,"RING",1,17544,40833,"1",
54,18392,1,17544,76108,"RING",1,17544,40833,"1",
55,18408,1,17544,76108,"RING",1,17544,40833,"1",
56,18424,1,17544,76108,"RING",1,17544,40833,"1",
57,18440,1,17544,76108,"RING",1,17544,40833,"1",
58,18456,1,17544,76108,"RING",1,17544,40833,"1",
59,18472,1,17544,76108,"RING",1,17544,40833,"1",
60,18488,1,17544,76108,"RING",1,17544,40833,"1",
61,18504,1,17544,76108,"RING",1,17544,40833,"1",
62,18520,1,17544,76108,"RING",1,17544,40833,"1",
63,18536,1,17544,76108,"RING",1,17544,40833,"1",
64,18552,1,17544,76108,"RING",1,17544,40833,"1",
65,18568,1,17544,76108,"RING",1,17544,40833,"1",
66,18584,1,17544,76108,"RING",1,17544,40833,"1",
67,18600,1,17544,76108,"RING",1,17544,40833,"1",
68,18616,1,17544,76108,"RING",1,17544,40833,"1",
69,18632,1,17544,76108,"RING",1,17544,40833,"1",
70,18648,1,17544,76108,"RING",1,17544,40833,"1",
71,18664,1,17544,76108,"RING",1,17544,40833,"1",
72,18680,1,17544,76108,"RING",1,17544,40833,"1",
73,18696,1,17544,76108,"RING",1,17544,40833,"1",
74,18712,1,17544,76108,"RING",1,17544,40833,"1",
75,18728,1,17544,76108,"RING",1,17544,40833,"1",
76,18744,1,17544,76108,"RING",1,17544,40833,"1",
77,18760,1,17544,76108,"RING",1,17544,40833,"1",
78,18776,1,17544,76108,"RING",1,17544,40833,"1",
79,18792,1,17544,76108,"RING",1,17544,40833,"1",
80,18808,1,17544,76108,"RING",1,17544,40833,"1",
81,18824,1,17544,76108,"RING",1,17544,40833,"1",
82,18840,1,17544,76108,"RING",1,17544,40833,"1",
83,18856,1,17544,76108,"RING",1,17544,40833,"1",
84,18872,1,17544,76108,"RING",1,17544,40833,"1",
85,18888,1,17544,76108,"RING",1,17544,40833,"1",
86,18904,1,17544,76108,"RING",1,17544,40833,"1",
87,18920,1,17544,76108,"RING",1,17544,40833,"1",
88,18936,1,17544,76108,"RING",1,17544,40833,"1",
89,18952,1,17544,76108,"RING",1,17544,40833,"1",
90,18968,1,17544,76108,"RING",1,17544,40833,"1",
91,18984,1,17544,76108,"RING",1,17544,40833,"1",
92,19000,1,17544,76108,"RING",1,17544,40833,"1",
93,19016,1,17544,76108,"RING",1,17544,40833,"1",
94,19032,1,17544,76108,"RING",1,17544,40833,"1",
95,19048,1,17544,76108,"RING",1,17544,40833,"1",
96,19064,1,17544,76108,"RING",1,17544,40833,"1",
97,19080,1,17544,76108,"RING",1,17544,40833,"1",
98,19096,1,17544,76108,"RING",1,17544,40833,"1",
99,19112,1,17544,76108,"RING",1,17544,40833,"1",
100,19128,1,17544,76108,"RING",1,17544,40833,"1",
101,19144,1,17544,76108,"RING",1,17544,40833,"1",
102,19160,1,17544,76108,"RING",1,17544,40833,"1",
103,19176,1,17544,76108,"RING",1,17544,40833,"1",
104,19192,1,17544,76108,"RING",1,17544,40833,"1",
105,19208,1,17544,76108,"RING",1,17544,40833,"1",
106,19224,1,17544,76108,"RING",1,17544,40833,"1",
107,19240,1,17544,76108,"RING",1,17544,40833,"1",
108,19256,1,17544,76108,"RING",1,17544,40833,"1",
109,19272,1,17544,76108,"RING",1,17544,40833,"1",
110,19288,1,17544,76108,"RING",1,17544,40833,"1",
111,19304,1,17544,76108,"RING",1,17544,40833,"1",
112,19320,1,17544,76108,"RING",1,17544,40833,"1",
113,19336,1,17544,76108,"RING",1,17544,40833,"1",
114,19352,1,17544,76108,"RING",1,17544,40833,"1",
115,19368,1,17544,76108,"RING",1,17544,40833,"1",
116,19384,1,17544,76108,"RING",1,17544,40833,"1",
117,19400,1,17544,76108,"RING",1,17544,40833,"1",
118,19416,1,17544,76108,"RING",1,17544,40833,"1",
119,19432,1,17544,76108,"RING",1,17544,40833,"1",
120,19448,1,17544,76108,"RING",1,17544,40833,"1",
121,19464,1,17544,76108,"RING",1,17544,40833,"1",
122,19480,1,17544,76108,"RING",1,17544,40833,"1",
123,19496,1,17544,76108,"RING",1,17544,40833,"1",
124,19512,1,17544,76108,"RING",1,17544,40833,"1",
125,19528,1,17544,76108,"RING",1,17544,40833,"1",
126,19544,1,17544,76108,"RING",1,17544,40833,"1",
127,19560,1,17544,76108,"RING",1,17544,40833,"1",
128,19576,1,17544,76108,"RING",1,17544,40833,"1",
129,19592,1,17544,76108,"RING",1,17544,40833,"1",
130,19608,1,17544,76108,"RING",1,17544,40833,"1",
131,19624,1,17544,76108,"RING",1,17544,40833,"1",
132,19640,1,17544,76108,"RING",1,17544,40833,"1",
133,19656,1,17544,76108,"RING",1,17544,40833,"1",
134,19672,1,17544,76108,"RING",1,17544,40833,"1",
135,19688,1,17544,76108,"RING",1,17544,40833,"1",
136,19704,1,17544,76108,"RING",1,17544,40833,"1",
137,19720,1,17544,76108,"RING",1,17544,40833,"1",
138,19736,1,17544,76108,"RING",1,17544,40833,"1",
139,19752,1,17544,76108,"RING",1,17544,40833,"1",
140,19768,1,17544,76108,"RING",1,17544,40833,"1",
141,19784,1,17544,76108,"RING",1,17544,40833,"1",
142,19800,1,17544,76108,"RING",1,17544,40833,"1",
143,19816,1,17544,76108,"RING",1,17544,40833,"1",
144,19832,1,17544,76108,"RING",1,17544,40833,"1",
145,19848,1,17544,76108,"RING",1,17544,40833,"1",
146,19864,1,17544,76108,"RING",1,17544,40833,"1",
147,19880,1,17544,76108,"RING",1,17544,40833,"1",
148,19896,1,17544,76108,"RING",1,17544,40833,"1",
149,19912,1,17544,76108,"RING",1,17544,40833,"1",
150,19928,1,17544,76108,"RING",1,17544,40833,"1",
151,19944,1,17544,76108,"RING",1,17544,40833,"1",
152,19960,1,17544,76108,"RING",1,17544,40833,"1",
153,19976,1,17544,76108,"RING",1,17544,40833,"1",
154,19992,1,17544,76108,"RING",1,17544,40833,"1",
155,20008,1,17544,76108,"RING",1,17544,40833,"1",
156,20024,1,17544,76108,"RING",1,17544,40833,"1",
157,20040,1,17544,76108,"RING",1,17544,40833,"1",
158,20056,1,17544,76108,"RING",1,17544,40833,"1",
159,20072,1,17544,76108,"RING",1,17544,40833,"1",
160,20088,1,17544,76108,"RING",1,17544,40833,"1",
161,20104,1,17544,76108,"RING",1,17544,40833,"1",
162,20120,1,17544,76108,"RING",1,17544,40833,"1",
163,20136,1,17544,76108,"RING",1,17544,40833,"1",
164,20152,1,17544,76108,"RING",1,17544,40833,"1",
165,20168,1,17544,76108,"RING",1,17544,40833,"1",
166,20184,1,17544,76108,"RING",1,17544,40833,"1",
167,20200,1,17544,76108,"RING",1,17544,40833,"1",
168,20216,1,17544,76108,"RING",1,17544,40833,"1",
169,20232,1,17544,76108,"RING",1,17544,40833,"1",
170,20248,1,17544,76108,"RING",1,17544,40833,"1",
171,20264,1,17544,76108,"RING",1,17544,40833,"1",
172,20280,1,17544,76108,"RING",1,17544,40833,"1",
173,20296,1,17544,76108,"RING",1,17544,40833,"1",
174,20312,1,17544,76108,"RING",1,17544,40833,"1",
175,20328,1,17544,76108,"RING",1,17544,40833,"1",
176,20344,1,17544,76108,"RING",1,17544,40833,"1",
177,20360,1,17544,76108,"RING",1,17544,40833,"1",
178,20376,1,17544,76108,"RING",1,17544,40833,"1",
179,20392,1,17544,76108,"RING",1,17544,40833,"1",
180,20408,1,17544,76108,"RING",1,17544,40833,"1",
181,20424,1,17544,76108,"RING",1,17544,40833,"1",
182,20440,1,17544,76108,"RING",1,17544,40833,"1",
183,20456,1,17544,76108,"RING",1,17544,40833,"1",
184,20472,1,17544,76108,"RING",1,17544,40833,"1",
185,20488,1,17544,76108,"RING",1,17544,40833,"1",
186,20504,1,17544,76108,"RING",1,17544,40833,"1",
187,20520,1,17544,76108,"RING",1,17544,40833,"1",
188,20536,1,17544,76108,"RING",1,17544,40833,"1",
189,20552,1,17544,76108,"RING",1,17544,40833,"1",
190,20568,1,17544,76108,"RING",1,17544,40833,"1",
191,20584,1,17544,76108,"RING",1,17544,40833,"1",
192,20600,1,17544,76108,"RING",1,17544,40833,"1",
193,20616,1,17544,76108,"RING",1,17544,40833,"1",
194,20632,1,17544,76108,"RING",1,17544,40833,"1",
195,20648,1,17544,76108,"RING",1,17544,40833,"1",
196,20664,1,17544,76108,"RING",1,17544,40833,"1",
197,20680,1,17544,76108,"RING",1,17544,40833,"1",
198,20696,1,17544,76108,"RING",1,17544,40833,"1",
199,20712,1,17544,76108,"RING",1,17544,40833,"1",
200,20728,1,17544,76108,"RING",1,17544,40833,"1",
201,20744,1,17544,76108,"RING",1,17544,40833,"1",
202,20760,1,17544,76108,"RING",1,17544,40833,"1",
203,20776,1,17544,76108,"RING",1,17544,40833,"1",
204,20792,1,17544,76108,"RING",1,17544,40833,"1",
205,20808,1,17544,76108,"RING",1,17544,40833,"1",
206,20824,1,17544,76108,"RING",1,17544,40833,"1",
207,20840,1,17544,76108,"RING",1,17544,40833,"1",
208,20856,1,17544,76108,"RING",1,17544,40833,"1",
209,20872,1,17544,76108,"RING",1,17544,40833,"1",
210,20888,1,17544,76108,"RING",1,17544,40833,"1",
211,20904,1,17544,76108,"RING",1,17544,40833,"1",
212,20920,1,17544,76108,"RING",1,17544,40833,"1",
213,20936,1,17544,76108,"RING",1,17544,40833,"1",
214,20952,1,17544,76108,"RING",1,17544,40833,"1",
215,20968,1,17544,76108,"RING",1,17544,40833,"1",
216,20984,1,17544,76108,"RING",1,17544,40833,"1",
217,21000,1,17544,76108,"RING",1,17544,40833,"1",
218,21016,1,17544,76108,"RING",1,17544,40833,"1",
219,21032,1,17544,76108,"RING",1,17544,40833,"1",
220,21048,1,17544,76108,"RING",1,17544,40833,"1",
221,21064,1,17544,76108,"RING",1,17544,40833,"1",
222,21080,1,17544,76108,"RING",1,17544,40833,"1",
223,21096,1,17544,76108,"RING",1,17544,40833,"1",
224,21112,1,17544,76108,"RING",1,17544,40833,"1",
225,21128,1,17544,76108,"RING",1,17544,40833,"1",
226,21144,1,17544,76108,"RING",1,17544,40833,"1",
227,21160,1,17544,76108,"RING",1,17544,40833,"1",
228,21176,1,17544,76108,"RING",1,17544,40833,"1",
229,21192,1,17544,76108,"RING",1,17544,40833,"1",
230,21208,1,17544,76108,"RING",1,17544,40833,"1",
231,21224,1,17544,76108,"RING",1,17544,40833,"1",
232,21240,1,17544,76108,"RING",1,17544,40833,"1",
233,21256,1,17544,76108,"RING",1,17544,40833,"1",
234,21272,1,17544,76108,"RING",1,17544,40833,"1",
235,21288,1,17544,76108,"RING",1,17544,40833,"1",
236,21304,1,17544,76108,"RING",1,17544,40833,"1",
237,21320,1,17544,76108,"RING",1,17544,40833,"1",
238,21336,1,17544,76108,"RING",1,17544,40833,"1",
239,21352,1,17544,76108,"RING",1,17544,40833,"1",
240,21368,1,17544,76108,"RING",1,17544,40833,"1",
241,21384,1,17544,76108,"RING",1,17544,40833,"1",
242,21400,1,17544,76108,"RING",1,17544,40833,"1",
243,21416,1,17544,76108,"RING",1,17544,40833,"1",
244,21432,1,17544,76108,"RING",1,17544,40833,"1",
245,21448,1,17544,76108,"RING",1,17544,40833,"1",
246,21464,1,17544,76108,"RING",1,17544,40833,"1",
247,21480,1,17544,76108,"RING",1,17544,40833,"1",
248,21496,1,17544,76108,"RING",1,17544,40833,"1",
249,21512,1,17544,76108,"RING",1,17544,40833,"1",
250,21528,1,17544,76108,"RING",1,17544,40833,"1",
251,21544,1,17544,76108,"RING",1,17544,40833,"1",
252,21560,1,17544,76108,"RING",1,17544,40833,"1",
253,21576,1,17544,76108,"RING",1,17544,40833,"1",
254,21592,1,17544,76108,"RING",1,17544,40833,"1",
255,21608,1,17544,76108,"RING",1,17544,40833,"1",
256,21624,1,17544,76108,"RING",1,17544,40833,"1",
257,21640,1,17544,76108,"RING",1,17544,40833,"1",
258,21656,1,17544,76108,"RING",1,17544,40833,"1",
259,21672,1,17544,76108,"RING",1,17544,40833,"1",
260,21688,1,17544,76108,"RING",1,17544,40833,"1",
261,21704,1,17544,76108,"RING",1,17544,40833,"1",
262,21720,1,17544,76108,"RING",1,17544,40833,"1",
263,21736,1,17544,76108,"RING",1,17544,40833,"1",
264,21752,1,17544,76108,"RING",1,17544,40833,"1",
265,21768,1,17544,76108,"RING",1,17544,40833,"1",
266,21784,1,17544,76108,"RING",1,17544,40833,"1",
267,21800,1,17544,76108,"RING",1,17544,40833,"1",
268,21816,1,17544,76108,"RING",1,17544,40833,"1",
269,21832,1,17544,76108,"RING",1,17544,40833,"1",
270,21848,1,17544,76108,"RING",1,17544,40833,"1",
271,21864,1,17544,76108,"RING",1,17544,40833,"1",
272,21880,1,17544,76108,"RING",1,17544,40833,"1",
273,21896,1,17544,76108,"RING",1,17544,40833,"1",
274,21912,1,17544,76108,"RING",1,17544,40833,"1",
275,21928,1,17544,76108,"RING",1,17544,40833,"1",
