nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
1,11254,1,11254,142901,"RING",1,11254,14891,"1",
2,11287,1,11254,142901,"RING",1,11254,14891,"1",
3,11320,1,11254,142901,"RING",1,11254,14891,"1",
4,11353,1,11254,142901,"RING",1,11254,14891,"1",
5,11386,1,11254,142901,"RING",1,11254,14891,"1",
6,11419,1,11254,142901,"RING",1,11254,14891,"1",
7,11452,1,11254,142901,"RING",1,11254,14891,"1",
8,11485,1,11254,142901,"RING",1,11254,14891,"1",
9,11518,1,11254,142901,"RING",1,11254,14891,"1",
10,11551,1,11254,142901,"RING",1,11254,14891,"1",
11,11584,1,11254,142901,"RING",1,11254,14891,"1",
12,11617,1,11254,142901,"RING",1,11254,14891,"1",
13,11650,1,11254,142901,"RING",1,11254,14891,"1",
14,11683,1,11254,142901,"RING",1,11254,14891,"1",
15,11716,1,11254,142901,"RING",1,11254,14891,"1",
16,11749,1,11254,142901,"RING",1,11254,14891,"1",
17,11782,1,11254,142901,"RING",1,11254,14891,"1",
18,11815,1,11254,142901,"RING",1,11254,14891,"1",
19,11848,1,11254,142901,"RING",1,11254,14891,"1",
20,11881,1,11254,142901,"RING",1,11254,14891,"1",
21,11914,1,11254,142901,"RING",1,11254,14891,"1",
22,11947,1,11254,142901,"RING",1,11254,14891,"1",
23,11980,1,11254,142901,"RING",1,11254,14891,"1",
24,12013,1,11254,142901,"RING",1,11254,14891,"1",
25,12046,1,11254,142901,"RING",1,11254,14891,"1",
26,12079,1,11254,142901,"RING",1,11254,14891,"1",
27,12112,1,11254,142901,"RING",1,11254,14891,"1",
28,12145,1,11254,142901,"RING",1,11254,14891,"1",
29,12178,1,11254,142901,"RING",1,11254,14891,"1",
30,12211,1,11254,142901,"RING",1,11254,14891,"1",
31,12244,1,11254,142901,"RING",1,11254,14891,"1",
32,12277,1,11254,142901,"RING",1,11254,14891,"1",
33,12310,1,11254,142901,"RING",1,11254,14891,"1",
34,12343,1,11254,142901,"RING",1,11254,14891,"1",
35,12376,1,11254,142901,"RING",1,11254,14891,"1",
36,12409,1,11254,142901,"RING",1,11254,14891,"1",
37,12442,1,11254,142901,"RING",1,11254,14891,"1",
38,12475,1,11254,142901,"RING",1,11254,14891,"1",
39,12508,1,11254,142901,"RING",1,11254,14891,"1",
40,12541,1,11254,142901,"RING",1,11254,14891,"1",
41,12574,1,11254,142901,"RING",1,11254,14891,"1",
42,12607,1,11254,142901,"RING",1,11254,14891,"1",
43,12640,1,11254,142901,"RING",1,11254,14891,"1",
44,12673,1,11254,142901,"RING",1,11254,14891,"1",
45,12706,1,11254,142901,"RING",1,11254,14891,"1",
46,12739,1,11254,142901,"RING",1,11254,14891,"1",
47,12772,1,11254,142901,"RING",1,11254,14891,"1",
48,12805,1,11254,142901,"RING",1,11254,14891,"1",
49,12838,1,11254,142901,"RING",1,11254,14891,"1",
50,12871,1,11254,142901,"RING",1,11254,14891,"1",
51,12904,1,11254,142901,"RING",1,11254,14891,"1",
52,12937,1,11254,142901,"RING",1,11254,14891,"1",
53,12970,1,11254,142901,"RING",1,11254,14891,"1",
54,13003,1,11254,142901,"RING",1,11254,14891,"1",
55,13036,1,11254,142901,"RING",1,11254,14891,"1",
56,13069,1,11254,142901,"RING",1,11254,14891,"1",
57,13102,1,11254,142901,"RING",1,11254,14891,"1",
58,13135,1,11254,142901,"RING",1,11254,14891,"1",
59,13168,1,11254,142901,"RING",1,11254,14891,"1",
60,13201,1,11254,142901,"RING",1,11254,14891,"1",
61,13234,1,11254,142901,"RING",1,11254,14891,"1",
62,13267,1,11254,142901,"RING",1,11254,14891,"1",
63,13300,1,11254,142901,"RING",1,11254,14891,"1",
64,13333,1,11254,142901,"RING",1,11254,14891,"1",
65,13366,1,11254,142901,"RING",1,11254,14891,"1",
66,13399,1,11254,142901,"RING",1,11254,14891,"1",
67,13432,1,11254,142901,"RING",1,11254,14891,"1",
68,13465,1,11254,142901,"RING",1,11254,14891,"1",
69,13498,1,11254,142901,"RING",1,11254,14891,"1",
70,13531,1,11254,142901,"RING",1,11254,14891,"1",
71,13564,1,11254,142901,"RING",1,11254,14891,"1",
72,13597,1,11254,142901,"RING",1,11254,14891,"1",
73,13630,1,11254,142901,"RING",1,11254,14891,"1",
74,13663,1,11254,142901,"RING",1,11254,14891,"1",
75,13696,1,11254,142901,"RING",1,11254,14891,"1",
76,13729,1,11254,142901,"RING",1,11254,14891,"1",
77,13762,1,11254,142901,"RING",1,11254,14891,"1",
78,13795,1,11254,142901,"RING",1,11254,14891,"1",
79,13828,1,11254,142901,"RING",1,11254,14891,"1",
80,13861,1,11254,142901,"RING",1,11254,14891,"1",
81,13894,1,11254,142901,"RING",1,11254,14891,"1",
82,13927,1,11254,142901,"RING",1,11254,14891,"1",
83,13960,1,11254,142901,"RING",1,11254,14891,"1",
84,13993,1,11254,142901,"RING",1,11254,14891,"1",
85,14026,1,11254,142901,"RING",1,11254,14891,"1",
86,14059,1,11254,142901,"RING",1,11254,14891,"1",
87,14092,1,11254,142901,"RING",1,11254,14891,"1",
88,14125,1,11254,142901,"RING",1,11254,14891,"1",
89,14158,1,11254,142901,"RING",1,11254,14891,"1",
90,14191,1,11254,142901,"RING",1,11254,14891,"1",
91,14224,1,11254,142901,"RING",1,11254,14891,"1",
92,14257,1,11254,142901,"RING",1,11254,14891,"1",
93,14290,1,11254,142901,"RING",1,11254,14891,"1",
94,14323,1,11254,142901,"RING",1,11254,14891,"1",
95,14356,1,11254,142901,"RING",1,11254,14891,"1",
96,14389,1,11254,142901,"RING",1,11254,14891,"1",
97,14422,1,11254,142901,"RING",1,11254,14891,"1",
98,14455,1,11254,142901,"RING",1,11254,14891,"1",
99,14488,1,11254,142901,"RING",1,11254,14891,"1",
100,14521,1,11254,142901,"RING",1,11254,14891,"1",
101,14554,1,11254,142901,"RING",1,11254,14891,"1",
102,14587,1,11254,142901,"RING",1,11254,14891,"1",
103,14620,1,11254,142901,"RING",1,11254,14891,"1",
104,14653,1,11254,142901,"RING",1,11254,14891,"1",
105,14686,1,11254,142901,"RING",1,11254,14891,"1",
106,14719,1,11254,142901,"RING",1,11254,14891,"1",
107,14752,1,11254,142901,"RING",1,11254,14891,"1",
108,14785,1,11254,142901,"RING",1,11254,14891,"1",
109,14818,1,11254,142901,"RING",1,11254,14891,"1",
110,14851,1,11254,142901,"RING",1,11254,14891,"1",
111,14884,1,11254,142901,"RING",1,11254,14891,"1",
112,14917,1,11254,142901,"RING",2,14892,15435,"0",
113,14950,1,11254,142901,"RING",2,14892,15435,"0",
114,14983,1,11254,142901,"RING",2,14892,15435,"0",
115,15016,1,11254,142901,"RING",2,14892,15435,"0",
116,15049,1,11254,142901,"RING",2,14892,15435,"0",
117,15082,1,11254,142901,"RING",2,14892,15435,"0",
118,15115,1,11254,142901,"RING",2,14892,15435,"0",
119,15148,1,11254,142901,"RING",2,14892,15435,"0",
120,15181,1,11254,142901,"RING",2,14892,15435,"0",
121,15214,1,11254,142901,"RING",2,14892,15435,"0",
122,15247,1,11254,142901,"RING",2,14892,15435,"0",
123,15280,1,11254,142901,"RING",2,14892,15435,"0",
124,15313,1,11254,142901,"RING",2,14892,15435,"0",
125,15346,1,11254,142901,"RING",2,14892,15435,"0",
126,15379,1,11254,142901,"RING",2,14892,15435,"0",
127,15412,1,11254,142901,"RING",2,14892,15435,"0",
128,15445,1,11254,142901,"RING",3,15436,27369,"1",
129,15478,1,11254,142901,"RING",3,15436,27369,"1",
130,15511,1,11254,142901,"RING",3,15436,27369,"1",
131,15544,1,11254,142901,"RING",3,15436,27369,"1",
132,15577,1,11254,142901,"RING",3,15436,27369,"1",
133,15610,1,11254,142901,"RING",3,15436,27369,"1",
134,15643,1,11254,142901,"RING",3,15436,27369,"1",
135,15676,1,11254,142901,"RING",3,15436,27369,"1",
136,15709,1,11254,142901,"RING",3,15436,27369,"1",
137,15742,1,11254,142901,"RING",3,15436,27369,"1",
138,15775,1,11254,142901,"RING",3,15436,27369,"1",
139,15808,1,11254,142901,"RING",3,15436,27369,"1",
140,15841,1,11254,142901,"RING",3,15436,27369,"1",
141,15874,1,11254,142901,"RING",3,15436,27369,"1",
142,15907,1,11254,142901,"RING",3,15436,27369,"1",
143,15940,1,11254,142901,"RING",3,15436,27369,"1",
144,15973,1,11254,142901,"RING",3,15436,27369,"1",
145,16006,1,11254,142901,"RING",3,15436,27369,"1",
146,16039,1,11254,142901,"RING",3,15436,27369,"1",
