file,rows,columns,sha256_12
table_1_file_inventory.csv,4.0,6.0,33410568eb8f
table_2_data_quality_summary.csv,6.0,3.0,3b0a2f35fee8
table_3_cluster_diagnostics.csv,5.0,9.0,1517ae00862e
table_4_cluster_defining_profiles.csv,10.0,6.0,38f501979b04
table_5_screening_outcome.csv,2.0,14.0,76afa5fe3b9c
table_5b_cohort_flow.csv,4.0,3.0,327b7c8e8dff
table_6_knowledge_summary.csv,8.0,10.0,f64798a22deb
table_6b_knowledge_item_results.csv,14.0,8.0,697ddc0af93c
table_7_values_summary.csv,10.0,10.0,df50d1822882
table_8_demographics_summary.csv,11.0,9.0,4877fedc670d
table_9_decision_summary.csv,2.0,7.0,ef2843d3e358
table_10_sensitivity_checks.csv,4.0,9.0,ce05647b5a24
table_11_asd_family_context.csv,9.0,7.0,9e44e30981a3
figure_1_cluster_count_diagnostics.pdf,,,1b543f329017
figure_1_cluster_count_diagnostics.png,,,c896fb55cbeb
figure_2_primary_cluster_profiles.pdf,,,8da451ae31cc
figure_2_primary_cluster_profiles.png,,,e44a04263c68
figure_3_screening_outcome.pdf,,,ae69bb287e62
figure_3_screening_outcome.png,,,33edcdad21c0
figure_4_autism_knowledge.pdf,,,47d36ee5f65b
figure_4_autism_knowledge.png,,,36fe0bb3cd4c
figure_5_values_characterization.pdf,,,abf2a5f50834
figure_5_values_characterization.png,,,4c84d77610c5
figure_6_demographic_characterization.pdf,,,58963eb516ba
figure_6_demographic_characterization.png,,,dc38db5bce7d
