field_name,availability
achievement_val,both
age_elig,both
bar1_demo,both
bar1_fif,both
bar1_tfa,both
bar1_val,both
bar2_tfa,both
bar3_tfa,both
bar4_tfa,both
bar5_tfa,both
benevolence_val,both
children_elig,both
conformity_val,both
contact_coparent,both
contact_results,both
css,both
demo_area,both
demo_area_other,both
demo_cg1education,both
demo_cg1employment,both
demo_cg1prof,both
demo_copartner,both
demo_country,both
demo_date_gift_sent,both
demo_donate,both
demo_email,both
demo_email_confirm,both
demo_email_error,both
demo_ethnicity_other,both
demo_gender,both
demo_gift_sent,both
demo_hcare_access,both
demo_income,both
demo_maternalethnicity,both
demo_maternalrace,both
demo_momdob,both
demo_num_home,both
demo_race_other,both
display_email_error,both
display_missing_val,both
entry_done_val,both
fif_aut_child1_age,both
fif_aut_child2_age,both
fif_aut_child3_age,both
fif_aut_child4_age,both
fif_aut_child5_age,both
fif_aut_child6_age,both
fif_aut_child7_age,both
fif_aut_child8_age,both
fif_autism_yn,both
fif_child_needs,both
fif_childrens_ages,both
fif_describe_child,both
fif_describe_child_other,both
fif_diag_age_child1,both
fif_diag_age_child2,both
fif_diag_age_child3,both
fif_diag_age_child4,both
fif_diag_age_child5,both
fif_diag_age_child6,both
fif_diag_age_child7,both
fif_diag_age_child8,both
fif_diag_earlier,both
fif_diag_early_no,both
fif_diag_early_other,both
fif_diag_early_yes,both
fif_diag_firstsigns,both
fif_diag_firstsigns_what,both
fif_knowledge,both
fif_needs_list,both
fif_not_tested_reason,both
fif_num_autistic,both
fif_num_children,both
fif_p1_1_1,both
fif_pregnant,both
fif_pregnant_other,both
fif_premature,both
fif_premature_other,both
fif_pren_test_other,both
fif_prenatal_no_preg,both
fif_prenatal_preg,both
fif_prenatal_test_no,both
fif_prob_diag,both
fif_relatives,both
fif_signs_age,both
fif_table_aut_child1,both
fif_table_aut_child2,both
fif_table_aut_child3,both
fif_table_aut_child4,both
fif_tested_reason,both
fif_work_autistic,both
fif_work_explain,both
format_hour_demo,both
format_hour_fif,both
format_hour_tfa,both
format_hour_val,both
format_min_demo,both
format_min_fif,both
format_min_from_hr_demo,both
format_min_from_hr_fif,both
format_min_from_hr_tfa,both
format_min_from_hr_val,both
format_min_tfa,both
format_min_val,both
format_secs_demo,both
format_secs_fif,both
format_secs_tfa,both
format_secs_val,both
get_min_demo,both
get_min_fif,both
get_min_tfa,both
get_min_val,both
get_secs_demo,both
get_secs_fif,both
get_secs_tfa,both
get_secs_val,both
get_time_demo,both
get_time_fif,both
get_time_tfa,both
get_time_val,both
header1_values,both
header2_demo,both
header2_values,both
header3_demo,both
header_admin_demo,both
header_demo,both
header_ecd,both
header_elig,both
header_fif,both
header_summary_val,both
hedonism_val,both
instruct1_p03_tfa,both
instruct1_p10_tfa,both
instruct1_val,both
power_val,both
pronouns_elig,both
q1,both
q10,both
q10_12,both
q10_22,both
q114,both
q124,both
q134,both
q144,both
q2,both
q213,both
q223,both
q233,both
q3,both
q313,both
q323,both
q333,both
q4,both
q412,both
q422,both
q5,both
q512,both
q522,both
q6,both
q612,both
q622,both
q7,both
q714,both
q724,both
q734,both
q744,both
q8,both
q812,both
q822,both
q9,both
q913,both
q923,both
q933,both
record_id,both
security_val,both
self_direction_val,both
show_scores_val,both
status_elig,both
stimulation_val,both
survey_time_demo,both
survey_time_fif,both
survey_time_tfa,both
survey_time_val,both
table1_p01,both
table1_p02,both
table1_p03,both
table1_p04,both
table1_p06,both
table1_p07,both
table1_p08,both
table1_p09,both
table1_p10,both
table1_p11,both
table1_p12,both
table1_p13,both
table1_p14,both
table1_p15,both
table2_p03,both
table2_p04,both
table2_p08,both
table2_p15,both
table_scores1_val,both
table_show_scores,both
tfa_accuracy_hdr,both
tfa_angry,both
tfa_are_vs_have,both
tfa_at_birth,both
tfa_autistic_us,both
tfa_behavior_age,both
tfa_believe_negative,both
tfa_believe_positive,both
tfa_blood,both
tfa_comfortable,both
tfa_comments_gain_loss,both
tfa_comments_gained_lost,both
tfa_comments_regrets,both
tfa_comments_regrets_pos,both
tfa_comments_test,both
tfa_difficult,both
tfa_disgusted,both
tfa_doable,both
tfa_eeg,both
tfa_ethic_details,both
tfa_extra_time_hdr,both
tfa_feedback_other,both
tfa_free_screen,both
tfa_future,both
tfa_gain_vs_loss,both
tfa_gain_vs_loss_neg,both
tfa_gains,both
tfa_gains_neg,both
tfa_genetics,both
tfa_happiness,both
tfa_happy,both
tfa_heart,both
tfa_help_when,both
tfa_independent,both
tfa_interact_negative,both
tfa_interact_positive,both
