field_name,clean_min,clean_max,dirty_min,dirty_max,clean_nonmissing_n,dirty_nonmissing_n,clean_missing_pct,dirty_missing_pct
benevolence_val,2.0,6.0,1.0,6.0,146,1641,17.51412429378531,7.75716694772344
conformity_val,2.0,6.0,1.0,6.0,146,1641,17.51412429378531,7.75716694772344
demo_cg1education,3.0,9.0,2.0,9.0,131,1575,25.98870056497175,11.467116357504215
demo_country,1.0,1.0,0.0,1.0,131,1575,25.98870056497175,11.467116357504215
demo_donate___1,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
demo_gender,0.0,2.0,1.0,3.0,131,1575,25.98870056497175,11.467116357504215
demo_maternalrace___3,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
demo_maternalrace___6,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
demo_num_home,2.0,9.0,1.0,9.0,129,1464,27.11864406779661,17.706576728499158
fif_aut_child1_age,3.0,27.0,0.5,30.0,74,930,58.19209039548022,47.72344013490725
fif_aut_child2_age,2.0,17.0,1.0,26.0,22,16,87.57062146892656,99.10061832490163
fif_describe_child___7,0.0,1.0,0.0,0.0,177,1779,0.0,0.0
fif_diag_age_child1,1.0,23.0,1.0,21.0,58,858,67.2316384180791,51.77065767284992
fif_diag_age_child2,1.5,12.0,1.0,18.0,16,16,90.96045197740112,99.10061832490163
fif_not_tested_reason___8,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
fif_pregnant,0.0,1.0,0.0,2.0,170,1674,3.954802259887006,5.902192242833052
fif_premature,1.0,3.0,1.0,4.0,170,1646,3.954802259887006,7.476110174255199
fif_prenatal_preg,0.0,1.0,0.0,2.0,8,546,95.48022598870057,69.30860033726813
format_hour_tfa,1.0,22.0,0.0,21.0,8,30,95.48022598870057,98.31365935919055
format_min_from_hr_tfa,10.0,57.0,0.0,59.0,8,30,95.48022598870057,98.31365935919055
format_min_tfa,10.0,57.0,0.0,59.0,8,30,95.48022598870057,98.31365935919055
get_min_demo,0.0,12.0,0.0,40.0,131,1575,25.98870056497175,11.467116357504215
get_min_fif,0.0,129.0,0.0,232.0,167,1668,5.649717514124294,6.239460370994941
get_min_tfa,7.0,1377.0,2.0,1318.0,131,1587,25.98870056497175,10.792580101180437
get_min_val,0.0,38.0,0.0,79.0,146,1638,17.51412429378531,7.925801011804384
get_time_demo,0.72,12.22,0.17,40.77,131,1575,25.98870056497175,11.467116357504215
get_time_fif,0.68,129.38,0.5,232.1,167,1668,5.649717514124294,6.239460370994941
get_time_tfa,7.85,1377.3,2.05,1318.9,131,1587,25.98870056497175,10.792580101180437
get_time_val,0.67,38.37,0.08,79.05,146,1638,17.51412429378531,7.925801011804384
q1,2.0,6.0,1.0,6.0,147,1650,16.94915254237288,7.251264755480608
q3,2.0,6.0,1.0,6.0,147,1649,16.94915254237288,7.307476110174255
q5,2.0,6.0,1.0,6.0,147,1650,16.94915254237288,7.251264755480608
self_direction_val,2.0,6.0,1.0,6.0,146,1641,17.51412429378531,7.75716694772344
tfa_behavior_age,2.0,6.0,1.0,6.0,132,1596,25.423728813559322,10.286677908937605
tfa_disgusted,1.0,3.0,1.0,5.0,133,1571,24.858757062146893,11.69196177627881
tfa_doable,1.0,3.0,1.0,4.0,134,1596,24.293785310734464,10.286677908937605
tfa_future,1.0,4.0,1.0,5.0,135,1612,23.728813559322035,9.387296233839235
tfa_heart,2.0,7.0,1.0,7.0,133,1589,24.858757062146893,10.680157391793141
tfa_intervene,3.0,4.0,1.0,4.0,142,1626,19.774011299435028,8.600337268128163
tfa_intervene_not_valued___1,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___2,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___3,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___4,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___5,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___6,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___7,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_intervene_not_valued___8,0.0,0.0,0.0,1.0,177,1779,0.0,0.0
tfa_observe,2.0,7.0,1.0,7.0,133,1589,24.858757062146893,10.680157391793141
tfa_saliva,2.0,7.0,1.0,7.0,134,1592,24.293785310734464,10.511523327712197
tfa_scan_any,1.0,5.0,1.0,6.0,135,1610,23.728813559322035,9.499718943226531
tfa_screen_accuracy,1.0,5.0,1.0,6.0,135,1610,23.728813559322035,9.499718943226531
tfa_social,1.0,3.0,1.0,4.0,131,1572,25.98870056497175,11.63575042158516
tfa_track,1.0,2.0,1.0,4.0,141,1620,20.33898305084746,8.937605396290051
tfa_trusting,2.0,5.0,1.0,5.0,132,1576,25.423728813559322,11.410905002810567
tfa_wchild,1.0,3.0,1.0,4.0,142,1627,19.774011299435028,8.544125913434513
zip_demo,20294.0,60073.0,501.0,99950.0,123,1497,30.508474576271187,15.851602023608768
