feature,permutation_auc_decrease,permutation_sd,mean_abs_shap
feat_open_text_n_filled,0.2038839823045385,0.012307663692499391,1.2273249773967434
feat_open_text_mean_len,0.03187017082535416,0.002441966767080053,0.44116380286338114
feat_time_val,0.02872622529637992,0.0032626603747634066,0.794515982216382
feat_time_demo,0.012811266406887617,0.0018774360266875937,0.39135831957917905
feat_time_cv,0.0032396159843497197,0.0008157502909510259,0.16007819110974517
feat_n_missing_tfa,0.002473617184795601,0.0003890663100525508,0.15546734536348844
feat_straightline_maxrun,0.0018551334940279274,0.0007235672887316422,0.13275611207577834
feat_sd_likert_7,0.0017673231009612711,0.0003837240619478265,0.17234270464027193
feat_time_fif,0.0013951213625378156,0.0002959960709525173,0.07846672621255522
feat_open_text_max_sim,0.001132325339888135,0.0003993241846897547,0.06662038869128692
feat_sd_likert_5,0.0007139159624368451,0.00017259904484915,0.059992729272772174
feat_sd_likert_4,0.0004212675819272482,0.00015551375565735743,0.0564724362932847
feat_emotion_variance,0.0003244062080201171,7.310700867688231e-05,0.013815822417158086
feat_total_time_min,9.305043460584029e-05,1.4694645695400839e-05,0.0048171563548153025
feat_time_tfa,9.114496495522539e-05,2.5268935235665505e-05,0.011663137184045536
feat_time_per_item_tfa,4.6525217302917365e-05,1.8660932954103e-05,0.003275983097004337
feat_n_distinct_values,1.0162504803373773e-05,7.2139916677550175e-06,0.0009534836530188353
feat_sd_likert_6,0.0,0.0,0.0
