method_a,method_b,cohen_kappa,overlap_n,jaccard_overlap
rule_high_suspicion_or_invalid,isolation,0.16242546570115513,313,0.2686695278969957
rule_high_suspicion_or_invalid,lof,0.028748655177713522,91,0.08280254777070063
rule_high_suspicion_or_invalid,mahalanobis,-0.02173564293288388,9,0.008356545961002786
rule_high_suspicion_or_invalid,pu_classifier,0.2933355554727125,1001,0.6030120481927711
isolation,lof,0.2895921790848308,105,0.22483940042826553
isolation,mahalanobis,0.09149817384290504,29,0.06605922551252848
isolation,pu_classifier,0.06808160286523812,400,0.24345709068776628
lof,mahalanobis,0.20909026980145795,21,0.1320754716981132
lof,pu_classifier,0.01302052517776664,127,0.07800982800982802
mahalanobis,pu_classifier,-0.009237896102959553,24,0.014751075599262446
