definition,family,measure,higher_n,conditional_n,higher_estimate,conditional_estimate,effect,raw_p,fdr_p
1. 4797 Tier 4 only,knowledge,knowledge_binary_verified_7,63,47,3.8253968253968256,3.617021276595745,0.1266861447523598,0.4228429425955742,0.4228429425955742
1. 4797 Tier 4 only,knowledge,knowledge_graded_documented_5,64,48,17.078125,16.8125,0.09370404720711592,0.28098767194366736,0.4228429425955742
1. 4797 Tier 4 only,values,conformity_val,67,50,4.895522388059701,4.84,0.052425345022516966,0.7774106140026249,0.8608503013473838
1. 4797 Tier 4 only,values,tradition_val,67,50,3.6865671641791047,3.56,0.06780157072529437,0.6376905662125513,0.8608503013473838
1. 4797 Tier 4 only,values,benevolence_val,67,50,5.522388059701493,5.48,0.06010464579920773,0.8608503013473838,0.8608503013473838
1. 4797 Tier 4 only,values,universalism_val,67,50,5.373134328358209,5.24,0.1381561875255011,0.8086879747160773,0.8608503013473838
1. 4797 Tier 4 only,values,self_direction_val,67,50,5.343283582089552,4.9,0.4861736874448559,0.011189846762918398,0.11189846762918398
1. 4797 Tier 4 only,values,stimulation_val,67,50,3.5671641791044775,3.26,0.2511133107078498,0.1580419258701412,0.395104814675353
1. 4797 Tier 4 only,values,hedonism_val,67,50,4.358208955223881,3.96,0.32250801669625856,0.09925107151603105,0.3308369050534368
1. 4797 Tier 4 only,values,achievement_val,67,50,3.955223880597015,3.9,0.03927474685145038,0.8569111156098626,0.8608503013473838
1. 4797 Tier 4 only,values,power_val,67,50,3.4477611940298507,2.98,0.3325350256045472,0.07993893946371107,0.3308369050534368
1. 4797 Tier 4 only,values,security_val,67,50,4.686567164179104,4.52,0.14352102668721936,0.48917824878990035,0.8608503013473838
1. 4797 Tier 4 only,demographics,caregiver_age,64,45,38.5,36.0,0.3141092236861907,0.08546991525718618,0.25640974577155856
1. 4797 Tier 4 only,demographics,household_size,64,47,4.0,4.0,0.0648526578942011,0.9825421320014681,0.9825421320014681
1. 4797 Tier 4 only,demographics,number_of_children,67,50,2.0,2.0,-0.01132168571406235,0.7159162581193679,0.9825421320014681
2. 4797 Tiers 3+4,knowledge,knowledge_binary_verified_7,77,43,3.909090909090909,3.488372093023256,0.26078793773145276,0.16317938015543842,0.21957915037971898
2. 4797 Tiers 3+4,knowledge,knowledge_graded_documented_5,78,44,17.192307692307693,16.704545454545453,0.17565620937346663,0.21957915037971898,0.21957915037971898
2. 4797 Tiers 3+4,values,conformity_val,84,44,4.785714285714286,4.795454545454546,-0.008402815601679853,0.9791331776291811,0.9791331776291811
2. 4797 Tiers 3+4,values,tradition_val,84,44,3.6666666666666665,3.5454545454545454,0.06489548124643447,0.6904152862973826,0.9791331776291811
2. 4797 Tiers 3+4,values,benevolence_val,84,44,5.535714285714286,5.409090909090909,0.16805731322850623,0.9467156040892933,0.9791331776291811
2. 4797 Tiers 3+4,values,universalism_val,84,44,5.392857142857143,5.159090909090909,0.23961691914926184,0.8362440141000431,0.9791331776291811
2. 4797 Tiers 3+4,values,self_direction_val,84,44,5.309523809523809,4.840909090909091,0.5019071903651227,0.013831421084156133,0.13831421084156134
2. 4797 Tiers 3+4,values,stimulation_val,84,44,3.5833333333333335,3.1363636363636362,0.36437277638309723,0.05480589352640514,0.27402946763202574
2. 4797 Tiers 3+4,values,hedonism_val,84,44,4.273809523809524,3.8863636363636362,0.3129440771827225,0.10930715490931843,0.36435718303106146
2. 4797 Tiers 3+4,values,achievement_val,84,44,3.880952380952381,3.7954545454545454,0.05884711780688457,0.7351893287284532,0.9791331776291811
2. 4797 Tiers 3+4,values,power_val,84,44,3.3452380952380953,3.0,0.24268561353556656,0.2016150426654637,0.5040376066636593
2. 4797 Tiers 3+4,values,security_val,84,44,4.607142857142857,4.5,0.09038951417474018,0.8173861384622322,0.9791331776291811
2. 4797 Tiers 3+4,demographics,caregiver_age,79,41,38.0,36.0,0.21344850174992983,0.18900115796651407,0.5670034738995422
2. 4797 Tiers 3+4,demographics,household_size,79,43,4.0,4.0,0.09748963712673547,0.5302016359373298,0.7953024539059947
2. 4797 Tiers 3+4,demographics,number_of_children,84,44,2.0,2.0,-0.03192974379206262,0.9096753905356896,0.9096753905356896
3. 4797 status quo,knowledge,knowledge_binary_verified_7,77,46,3.896103896103896,3.4130434782608696,0.2968940052420807,0.09920155837872409,0.18500352621751726
3. 4797 status quo,knowledge,knowledge_graded_documented_5,78,47,17.192307692307693,16.680851063829788,0.18537336214268807,0.18500352621751726,0.18500352621751726
3. 4797 status quo,values,conformity_val,84,47,4.7976190476190474,4.851063829787234,-0.04608177382457716,0.817750514894439,0.9316157754314712
3. 4797 status quo,values,tradition_val,84,47,3.642857142857143,3.6808510638297873,-0.020399202437881656,0.9299393649219974,0.9316157754314712
3. 4797 status quo,values,benevolence_val,84,47,5.535714285714286,5.404255319148936,0.17331972179810318,0.9247318435572728,0.9316157754314712
3. 4797 status quo,values,universalism_val,84,47,5.404761904761905,5.148936170212766,0.2628520714086075,0.6249378591561012,0.9316157754314712
3. 4797 status quo,values,self_direction_val,84,47,5.321428571428571,4.872340425531915,0.48292646884729473,0.01288079358910564,0.1288079358910564
3. 4797 status quo,values,stimulation_val,84,47,3.607142857142857,3.1702127659574466,0.3538615062596119,0.058632955966416885,0.29316477983208444
3. 4797 status quo,values,hedonism_val,84,47,4.261904761904762,3.9148936170212765,0.28159415978064833,0.1310871064790564,0.4369570215968546
3. 4797 status quo,values,achievement_val,84,47,3.869047619047619,3.893617021276596,-0.016981864060117015,0.9316157754314712,0.9316157754314712
3. 4797 status quo,values,power_val,84,47,3.3095238095238093,3.0425531914893615,0.1888253102514496,0.3240914585658281,0.8102286464145703
3. 4797 status quo,values,security_val,84,47,4.607142857142857,4.468085106382978,0.11651739058922461,0.6970983199477645,0.9316157754314712
3. 4797 status quo,demographics,caregiver_age,79,43,38.0,36.0,0.19006907811922005,0.247371113388125,0.742113340164375
3. 4797 status quo,demographics,household_size,79,46,4.0,4.0,0.08639634919567353,0.5597539097954327,0.8396308646931491
3. 4797 status quo,demographics,number_of_children,84,47,2.0,2.0,-0.025373991416839076,0.945720487664367,0.9457204876643669
4. 4797 Tiers 3+4 + 4581 Tier 4,knowledge,knowledge_binary_verified_7,92,28,3.858695652173913,3.4285714285714284,0.26622284224408216,0.1681527847206845,0.2623431258273625
4. 4797 Tiers 3+4 + 4581 Tier 4,knowledge,knowledge_graded_documented_5,94,28,17.159574468085108,16.535714285714285,0.2248758536214774,0.2623431258273625,0.2623431258273625
4. 4797 Tiers 3+4 + 4581 Tier 4,values,conformity_val,138,39,4.811594202898551,4.641025641025641,0.14384128428347345,0.6223448522245695,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,tradition_val,138,39,3.5579710144927534,3.4358974358974357,0.06628026747511866,0.7320481096571597,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,benevolence_val,138,39,5.471014492753623,5.384615384615385,0.11568322541946383,0.7614777327076214,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,universalism_val,138,39,5.405797101449275,5.230769230769231,0.1928172807526738,0.8673710591479544,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,self_direction_val,138,39,5.2898550724637685,4.743589743589744,0.578869716913123,0.0035376358826479004,0.03537635882647901
4. 4797 Tiers 3+4 + 4581 Tier 4,values,stimulation_val,138,39,3.579710144927536,3.3333333333333335,0.19129469473638358,0.29435551332921983,0.5887110266584397
4. 4797 Tiers 3+4 + 4581 Tier 4,values,hedonism_val,138,39,4.159420289855072,3.871794871794872,0.23649434095520672,0.2174995175950225,0.5437487939875563
4. 4797 Tiers 3+4 + 4581 Tier 4,values,achievement_val,138,39,3.9782608695652173,3.923076923076923,0.03859845077803198,0.7973712927305023,0.8673710591479544
