definition,model,term,n,mle_or,mle_ci_low,mle_ci_high,mle_p,mle_converged,firth_or,firth_profile_ci_low,firth_profile_ci_high,firth_converged
1. 4797 Tier 4 only,additive,higher_acceptability,113,7.932123179478639,3.2323792057323124,19.465098037644314,6.141290963885421e-06,True,7.389398977289521,3.176210689375613,18.526800842375916,True
1. 4797 Tier 4 only,additive,asd_child_at_home,113,3.682237337828593,1.5033409340659096,9.01915959637174,0.004345358625470334,True,3.507145983811954,1.4985084423983221,8.746374250023091,True
1. 4797 Tier 4 only,interaction,higher_acceptability,113,6.461538461538462,1.9471611395816888,21.442231175027633,0.002297492459073691,True,5.9360269360134765,1.9534304618817713,20.488322381201275,False
1. 4797 Tier 4 only,interaction,asd_child_at_home,113,2.907692307692306,0.7974823887460388,10.60170691607013,0.10585390791774375,True,2.7508417505173055,0.8066588275007966,10.18189087296268,False
1. 4797 Tier 4 only,interaction,cluster_x_asd,113,1.5648148148148158,0.25732584550732546,9.51573830384721,0.6268529305761006,True,1.5161656277842743,0.2660363683869018,8.936336003744236,False
2. 4797 Tiers 3+4,additive,higher_acceptability,124,12.199345756732836,4.57139820491781,32.55547432560431,5.892558928239616e-07,True,11.089397992694211,4.509229875889003,30.789523747765248,True
2. 4797 Tiers 3+4,additive,asd_child_at_home,124,4.481897525686195,1.764091931991707,11.386824612974003,0.00161514538643446,True,4.208051305939845,1.7691872670737907,11.066617852767935,True
2. 4797 Tiers 3+4,interaction,higher_acceptability,124,8.66666666666666,2.238372700752556,33.55612364547608,0.001768745077357755,True,7.571428570802054,2.3158436130785396,31.846929908737717,True
2. 4797 Tiers 3+4,interaction,asd_child_at_home,124,2.9555555555555544,0.6513053380516235,13.412002223268939,0.16022274649067747,True,2.695852534340619,0.6749495164307318,12.707927763110732,True
2. 4797 Tiers 3+4,interaction,cluster_x_asd,124,1.9162087912087946,0.2783607494769303,13.190998150442125,0.5087891839888161,True,1.9106918240368322,0.29104161627954556,12.150025692550539,True
3. 4797 status quo,additive,higher_acceptability,127,8.729221988227499,3.505540558512438,21.736823536307714,3.2449088321744053e-06,True,8.090770688269506,3.4657162460754436,20.796182876315598,True
3. 4797 status quo,additive,asd_child_at_home,127,4.324404327962665,1.7809390303435624,10.500344185333908,0.0012161978155229524,True,4.086227440555923,1.780947793020175,10.215184264230205,True
3. 4797 status quo,interaction,higher_acceptability,127,6.174999999999992,1.8126640560556742,21.035682189766305,0.003601927938318441,True,5.601626002450021,1.8481105700727607,20.248190503682313,True
3. 4797 status quo,interaction,asd_child_at_home,127,2.8499999999999956,0.7325946063539066,11.087305215670815,0.13078066188506446,True,2.655913975118683,0.7481699562681597,10.633230297618143,True
3. 4797 status quo,interaction,cluster_x_asd,127,2.024291497975711,0.33150274386664075,12.361152794636366,0.4449099377118193,True,1.974155249428907,0.34213995827277205,11.523641684278056,True
4. 4797 Tiers 3+4 + 4581 Tier 4,additive,higher_acceptability,171,8.906356414544087,3.564465321371129,22.253880296520222,2.8646929754418e-06,True,8.269949159348009,3.5645740951568827,21.567959029278857,True
4. 4797 Tiers 3+4 + 4581 Tier 4,additive,asd_child_at_home,171,2.2391547834059717,1.1353953572015731,4.415919188191389,0.019995266871908085,True,2.1985845864524483,1.134855709142591,4.367536849865995,True
4. 4797 Tiers 3+4 + 4581 Tier 4,interaction,higher_acceptability,171,4.588235294117641,1.39828309963658,15.055537122388369,0.01197312878209942,True,4.19806764589097,1.4391200111536653,14.67420407830666,True
4. 4797 Tiers 3+4 + 4581 Tier 4,interaction,asd_child_at_home,171,0.7499999999999987,0.1441014710454468,3.903499359993325,0.732488437118664,True,0.7777777811732312,0.1518389343841513,3.712662445247181,True
4. 4797 Tiers 3+4 + 4581 Tier 4,interaction,cluster_x_asd,171,3.7362637362637456,0.6087328364622365,22.932337259886793,0.1545090934544709,True,3.523788723120863,0.6275527646511337,21.0954734584222,True
5. 4581 Tier 4 replication,additive,higher_acceptability,47,14.665837735458116,1.6723170904311364,128.61603682309806,0.015345408332075485,True,9.742657577089238,1.960833237055716,96.76911299546653,True
5. 4581 Tier 4 replication,additive,asd_child_at_home,47,0.8281606649654667,0.23165736702810089,2.960622818927437,0.7717546001737835,True,0.834630221405672,0.24050112277029417,2.8889882972055916,True
5. 4581 Tier 4 replication,interaction,higher_acceptability,47,6.500000000304685,0.6127051016862467,68.95650107642851,0.1203234669019828,False,4.764705921427299,0.7171997899849224,53.92627349335369,True
5. 4581 Tier 4 replication,interaction,asd_child_at_home,47,2.775795704363575e-11,0.0,inf,0.9998857571923001,False,0.27272727617289255,0.0016896602161867278,6.49762510063654,True
5. 4581 Tier 4 replication,interaction,cluster_x_asd,47,36949442065.22003,0.0,inf,0.9998856382011412,False,3.729344682228468,0.12199966275685684,671.5076558539336,True
