k,covariance_type,aic,bic,converged,entropy_separation,mean_max_posterior,p10_max_posterior
3,diagonal,1519.609327254246,1697.8715612927174,True,0.9972658961133594,0.9991686841771678,0.9999930260402062
5,diagonal,1729.0567002974126,2028.0772219103324,True,0.9267222505232096,0.9558443497915174,0.858932934514301
4,diagonal,1792.774104858121,2031.4154826838167,True,0.9983248834736446,0.9996495780586676,0.999509839553491
6,diagonal,1741.2242732442494,2100.623938644393,True,0.9369415574347212,0.9567586577326597,0.8858796791060876
3,full,1611.6463879805124,2178.0602606511393,True,0.9998157425063899,0.9999718671292985,0.9999926988724157
6,full,1048.4078744435533,2184.110817108008,True,0.9999978144766772,0.9999996563139062,0.9999999999991935
5,full,1325.5720323870967,2271.5119517202756,True,0.9998060755153783,0.9999548208894423,1.0
2,diagonal,2211.790361895175,2329.6734521464223,True,0.9986643741623923,0.9998658095306768,0.9999373482816878
4,full,1721.8424856941103,2478.019381696013,True,0.9994930483252351,0.9998593280286935,1.0
2,full,2129.891568917937,2506.542418257288,True,0.9998325040480452,0.9999862777145385,0.9999938970796296
3,spherical,3551.6658644713857,3652.297770783426,True,0.7787541002404408,0.905302915967766,0.7327111500088213
4,spherical,3519.6904498880294,3654.8247240784835,True,0.7699808414899436,0.8745621123254944,0.6058026735767595
2,spherical,3588.716316221222,3654.845854654848,True,0.8366149005628376,0.9512289295864298,0.8166072429492243
5,spherical,3496.2436504986767,3665.8802925675445,True,0.8475183785764485,0.904985316057376,0.6786714945174596
4,tied,3385.6191956268776,3667.3885333005906,True,0.9344369695082915,0.9646137037072376,0.9085116359489119
6,spherical,3472.593300689349,3676.7323106366307,True,0.8153282858733011,0.8752594241259619,0.5878769570809873
2,tied,3460.8299705041354,3679.3449670674227,True,0.9941235289930147,0.9986932323997105,0.9999999997316849
3,tied,3441.571759012647,3691.713926131147,True,0.911024289310276,0.96544268867664,0.8850600936236838
5,tied,3397.5378982185066,3710.934406447432,True,0.9065505684391535,0.9433398821913835,0.7725370648470203
6,tied,3373.231668336597,3718.255347120735,True,0.9634224817624882,0.9796460351160151,0.9513812289860689
1,spherical,3739.6189569968974,3771.24612755211,True,1.0,1.0,1.0
1,tied,3595.1097927184655,3781.99761872654,True,1.0,1.0,1.0
1,full,3595.1097927184655,3781.99761872654,True,1.0,1.0,1.0
1,diagonal,3757.6189569968974,3815.1229034609205,True,1.0,1.0,1.0
