metric,expected,observed,tolerance,passed
selected_n,135.0,135.0,0.0,True
clusterable_n,131.0,131.0,0.0,True
screen_valid_n,127.0,127.0,0.0,True
higher_n,84.0,84.0,0.0,True
conditional_n,47.0,47.0,0.0,True
silhouette_k2,0.18,0.18026288270369922,0.002,True
mean_subsample_ari,0.704,0.7036250761083633,0.01,True
higher_screen_yes_n,56.0,56.0,0.0,True
higher_screen_valid_n,80.0,80.0,0.0,True
conditional_screen_yes_n,13.0,13.0,0.0,True
conditional_screen_valid_n,47.0,47.0,0.0,True
screen_gap_pp,42.3,42.34042553191489,0.2,True
additive_cluster_or,8.73,8.729221988227499,0.06,True
additive_asd_or,4.32,4.324404327962665,0.06,True
additive_asd_p,0.0012,0.0012161978155229524,0.0002,True
interaction_or,2.02,2.024291497975711,0.06,True
interaction_p,0.445,0.4449099377118193,0.003,True
