uid,source_project,project_id,record_id,family,violation_type,dependent_field,gating_fields,gating_logic,observed_fields,gating_values,observed_values
4581_1069,dirty_4581,4581,1069,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""2""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""0"", ""fif_childrens_ages___3"": ""1"", ""fif_childrens_ages___4"": ""1"", ""fif_childrens_ages___5"": ""1"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""2""}"
4581_120,dirty_4581,4581,120,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""2""}","{""fif_childrens_ages___1"": ""1"", ""fif_childrens_ages___2"": ""0"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""0"", ""fif_childrens_ages___5"": ""1"", ""fif_childrens_ages___6"": ""1"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""2""}"
4581_167,dirty_4581,4581,167,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""2""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""1"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""1"", ""fif_childrens_ages___5"": ""1"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""2""}"
4581_1774,dirty_4581,4581,1774,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""1""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""0"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""0"", ""fif_childrens_ages___5"": ""1"", ""fif_childrens_ages___6"": ""1"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""1""}"
4581_182,dirty_4581,4581,182,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""2""}","{""fif_childrens_ages___1"": ""1"", ""fif_childrens_ages___2"": ""1"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""1"", ""fif_childrens_ages___5"": ""0"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""2""}"
4581_220,dirty_4581,4581,220,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""1""}","{""fif_childrens_ages___1"": ""1"", ""fif_childrens_ages___2"": ""0"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""1"", ""fif_childrens_ages___5"": ""0"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""1""}"
4581_52,dirty_4581,4581,52,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""1""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""1"", ""fif_childrens_ages___3"": ""1"", ""fif_childrens_ages___4"": ""0"", ""fif_childrens_ages___5"": ""0"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""1""}"
4581_676,dirty_4581,4581,676,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""1""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""1"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""1"", ""fif_childrens_ages___5"": ""0"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""1""}"
4581_769,dirty_4581,4581,769,child_age_band_count_exceeds_child_count,impossible_count,fif_childrens_ages___*,fif_num_children,selected child age-band checkboxes must not exceed fif_num_children,"fif_num_children, fif_childrens_ages___1, fif_childrens_ages___2, fif_childrens_ages___3, fif_childrens_ages___4, fif_childrens_ages___5, fif_childrens_ages___6, fif_childrens_ages___7","{""fif_num_children"": ""1""}","{""fif_childrens_ages___1"": ""0"", ""fif_childrens_ages___2"": ""1"", ""fif_childrens_ages___3"": ""0"", ""fif_childrens_ages___4"": ""0"", ""fif_childrens_ages___5"": ""1"", ""fif_childrens_ages___6"": ""0"", ""fif_childrens_ages___7"": ""0"", ""fif_num_children"": ""1""}"
4581_1137,dirty_4581,4581,1137,earlier_diagnosis_no_reason_without_no_gate,orphaned_followup,fif_diag_early_no,fif_diag_earlier,"([fif_diag_earlier] <> """" and [fif_diag_earlier]=0)","fif_diag_early_no___1, fif_diag_early_no___2, fif_diag_early_no___3, fif_diag_early_no___4","{""fif_diag_earlier"": ""1""}","{""fif_diag_early_no___1"": ""1"", ""fif_diag_early_no___2"": ""0"", ""fif_diag_early_no___3"": ""1"", ""fif_diag_early_no___4"": ""0""}"
