metric,group_flagged_n,group_total_n,group_rate,comparison_flagged_n,comparison_total_n,comparison_rate,risk_ratio,odds_ratio,p_value,note,fdr_q
tier_1_confirmed_invalid,27,46,0.5869565217391305,462,1733,0.26658972879399884,2.201722190852626,3.9094326725905675,6.933986655440321e-06,comparison is dirty_4581 records with field!=1,
rule_R1,18,46,0.391304347826087,265,1733,0.1529140219272937,2.5589827727645615,3.5611859838274933,0.00010153123072673894,comparison is dirty_4581 records with field!=1,0.0010153123072673895
tier_le_2_high_or_confirmed,39,46,0.8478260869565217,1010,1733,0.582804385458742,1.4547352561343092,3.9882602545968884,0.0002022925257962153,comparison is dirty_4581 records with field!=1,
rule_R2,23,46,0.5,424,1733,0.24466243508366994,2.043632075471698,3.0872641509433962,0.00022475518667068603,comparison is dirty_4581 records with field!=1,0.0011237759333534302
rule_R3,33,46,0.717391304347826,806,1733,0.46508944027697635,1.5424803107131297,2.9195457148310746,0.0008350513919677144,comparison is dirty_4581 records with field!=1,0.0027835046398923813
rule_R7,3,46,0.06521739130434782,14,1733,0.008078476630121177,8.072981366459627,8.566445182724253,0.008537093254048026,comparison is dirty_4581 records with field!=1,0.021342733135120067
rule_R8,4,46,0.08695652173913043,40,1733,0.02308136180034622,3.767391304347826,4.030952380952381,0.024947138399917173,comparison is dirty_4581 records with field!=1,0.049894276799834346
rule_R4,22,46,0.4782608695652174,555,1733,0.32025389497980383,1.4933803368585976,1.9456456456456457,0.03659912813073834,comparison is dirty_4581 records with field!=1,0.0609985468845639
rule_R6,41,46,0.8913043478260869,1635,1733,0.9434506635891518,0.9447280946682621,0.49149847094801224,0.18512118688693105,comparison is dirty_4581 records with field!=1,0.2644588384099015
rule_R5,0,46,0.0,0,1733,0.0,,,1.0,comparison is dirty_4581 records with field!=1,1.0
rule_R9,0,46,0.0,0,1733,0.0,,,1.0,comparison is dirty_4581 records with field!=1,1.0
rule_R10,0,46,0.0,0,1733,0.0,,,1.0,comparison is dirty_4581 records with field!=1,1.0
