source_project,project_id,record_id,rule_R1,rule_R2,rule_R5,rule_R8,rule_R9,tier1_hit_count,tier1_any_hit,tier1_hard_candidate_ge2,tier1_hard_candidate_ge3,tier1_all_5_hits,tier1_rule_combo
clean_4797,4797,101,False,False,False,False,True,1,True,False,False,False,R9
clean_4797,4797,89,False,False,False,False,True,1,True,False,False,False,R9
clean_4797,4797,1,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,10,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,100,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,102,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,103,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,104,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,105,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,106,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,107,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,108,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,109,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,11,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,110,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,111,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,112,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,113,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,114,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,115,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,116,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,117,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,118,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,119,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,12,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,120,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,121,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,122,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,123,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,124,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,125,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,126,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,127,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,128,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,129,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,13,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,130,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,131,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,132,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,133,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,134,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,135,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,136,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,137,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,138,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,139,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,14,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,140,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,141,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,142,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,143,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,144,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,145,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,146,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,147,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,148,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,149,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,15,False,False,False,False,False,0,False,False,False,False,none
clean_4797,4797,150,False,False,False,False,False,0,False,False,False,False,none
