uid,record_id,tier,tier_label,tier1_hit_count,tier1_rule_combo,soft_triggered_rules,giftcard_decision,decision_reason
4581_101,101,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1013,1013,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1014,1014,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_102,102,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1020,1020,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1021,1021,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1028,1028,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_103,103,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1035,1035,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1037,1037,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_104,104,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1046,1046,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1049,1049,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1050,1050,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1052,1052,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1054,1054,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1055,1055,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1057,1057,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1058,1058,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1061,1061,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1062,1062,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
4581_1063,1063,3,Uncertain,0,none,R6,eligible_low_risk_review,Tier 3 with no Tier 1 rule hits; one soft suspicion rule only
