record_id,project_id,source_project,tier,tier_label,tier1_hit_count,tier1_rule_combo,tier1_triggered,soft_triggered,all_rules_triggered,total_rules_fired,giftcard_decision,classification,sub_classification
128,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
131,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
135,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
14,4797,clean_4797,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
15,4797,clean_4797,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
157,4797,clean_4797,3,Uncertain,0,none,none,R3,R3,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
161,4797,clean_4797,3,Uncertain,0,none,none,R4,"R4, R10",2,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
168,4797,clean_4797,3,Uncertain,0,none,none,R3,R3,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
172,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
175,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
20,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
33,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
34,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
36,4797,clean_4797,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
