field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,caregiver_verification,,text,"Participant Record ID",,,,,,y,,,,,,,
participant_email,caregiver_verification,"Participant Contact Information",text,"Please confirm your email address:",,"Used to link your verification response to your study record",email,,,y,,y,,,,,
verify_birth_year,caregiver_verification,"Caregiver & Family Information",text,"What year were you born? (YYYY)",,"Enter 4-digit year, e.g., 1992",integer,1920,2008,y,,y,,1,,,
verify_gender,caregiver_verification,,radio,"What is your gender?","1, Man | 2, Woman | 3, Non-binary | 4, Other | 0, Prefer not to answer",,,,,,,y,,2,,,
verify_pronouns,caregiver_verification,,radio,"What are your pronouns?","1, He/Him/His | 2, She/Her/Hers | 3, They/Them/Theirs | 4, Other",,,,,,,y,,3,,,
verify_zip,caregiver_verification,,text,"What is your 5-digit home ZIP code?",,"5-digit US ZIP code",zipcode,,,,,y,,4,,,
verify_area,caregiver_verification,,radio,"Please describe the area where you live:","1, Rural/Country (small town, countryside, farm) | 2, Suburbs (just outside a big town or city) | 3, City/Urban (city or town with lots of people and buildings) | 4, Other",,,,,,,y,,5,,,
verify_num_children,caregiver_verification,,dropdown,"How many children do you have?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8+",,,,,,,y,,6,,,
verify_child_birth_year,caregiver_verification,,text,"What year was your first child born? (YYYY)",,"Enter 4-digit year, e.g., 2018 (optional if not applicable)",integer,1980,2026,,,,,7,,,
verify_child_needs,caregiver_verification,,radio,"Do any of your children have special needs or disabilities?","1, Yes | 0, No",,,,,,,y,,8,,,
verify_num_autistic,caregiver_verification,,dropdown,"How many of your children have an autism diagnosis?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, More than 3",,,,,,,y,,9,,,
verify_education,caregiver_verification,,radio,"What is your highest level of education completed?","1, Less than 8th grade | 2, 9th-11th grade | 3, High school diploma or GED | 4, Some college courses | 5, Trade or Vocational School | 6, Associates or 2-year College Degree | 7, Bachelor's degree | 8, Master's degree | 9, Professional degree (MD, PhD, JD) | 10, Doctorate degree (PhD, EdD)",,,,,,,y,,10,,,
verify_employment,caregiver_verification,,radio,"What is your current employment status?","1, Employed (full-time or part-time) | 2, Stay-at-home caregiver (for children, parents, family members) | 3, Student | 4, On maternity/paternity leave | 5, None of the above / Other",,,,,,,y,,11,,,
verify_knee,caregiver_verification,"Attention Check",radio,"What does a parent usually do in the situation described below? (Child with a scraped knee)","1, Flips on a light | 2, Puts on a Band-Aid | 3, Jumps in the pool | 4, Tells them to do their homework | 5, Turns on a fan | 6, Takes to the ER immediately | 7, I don't know","Please answer honestly based on everyday caregiving",,,,,,y,,12,,,
verify_comments,caregiver_verification,Feedback,notes,"Any additional comments or questions for our research team? (optional)",,,,,,,,,,,,,
