value,higher_n,higher_mean,higher_sd,conditional_n,conditional_mean,conditional_sd,cohens_d,mann_whitney_p,fdr_p
Self-direction,84,5.321428571428571,0.8382528342413149,47,4.872340425531915,1.0757610304498846,0.48292646884729473,0.01288079358910564,0.1288079358910564
Stimulation,84,3.607142857142857,1.2612659269091906,47,3.1702127659574466,1.1854030489791814,0.3538615062596119,0.058632955966416885,0.29316477983208444
Hedonism,84,4.261904761904762,1.1731848077903426,47,3.9148936170212765,1.3323693709368083,0.28159415978064833,0.1310871064790564,0.4369570215968546
Universalism,84,5.404761904761905,0.777996308397839,47,5.148936170212766,1.2507167232927465,0.2628520714086075,0.6249378591561012,0.9316157754314712
Power,84,3.3095238095238093,1.422505768732373,47,3.0425531914893615,1.3980957050109368,0.1888253102514496,0.3240914585658281,0.8102286464145703
Benevolence,84,5.535714285714286,0.6295232193087729,47,5.404255319148936,0.947756492026097,0.17331972179810318,0.9247318435572728,0.9316157754314712
Security,84,4.607142857142857,1.1302825869374025,47,4.468085106382978,1.299683303059487,0.11651739058922461,0.6970983199477645,0.9316157754314712
Conformity,84,4.7976190476190474,1.1696952739280793,47,4.851063829787234,1.1416754165290381,-0.04608177382457716,0.817750514894439,0.9316157754314712
Tradition,84,3.642857142857143,1.9115555839238085,47,3.6808510638297873,1.7706101009284094,-0.020399202437881656,0.9299393649219974,0.9316157754314712
Achievement,84,3.869047619047619,1.4377003215456887,47,3.893617021276596,1.4630825492059338,-0.016981864060117015,0.9316157754314712,0.9316157754314712
