Analysis Questions,Significant,Link,,
"Screening(Yes[Definitely Yes] / No [Others]) = Autism Family
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.mfv83vrhrptz,Screening = tfa_free_screen where we combined the responses as Yes/No options for logistic regression,
"Screening (Yes/No)[Yes: Definitely Yes, NO: Others] = Ethical Stand (Very Ethically Right) vs others
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.kyn2dfhxsiln,"Autism Family = fif_num_autistic, coded response 0 for no and others as Yes",
"Screening (Yes/No)[Yes: Definitely Yes, NO: Others] = Ethical Stand (Combined: Very Ethically Right + Ethically right) vs others
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.j6ih4pu1aaof,"Ethical Stand = tfa_scan_any = Thinking about what is right and fair foreveryone:Is it ethical for pediatricians to offerfree infant autism screenings at 4-month well-child checkups to all babies, even if there areno troubling behavior or delays?
Coded as binary: Very Ethically Righ vs Others",
"Screening (Yes/No) [Yes: Definitely Yes, NO: Others] = Accuracy Score
","Model p-value: 0.1091, not significant
Accuracy score 98-100%: significant",https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.9ndx6p8qjens,,
"Prenatal Genetic Testing = Autism Family
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.b2vknvbxjsfz,,
"Prenatal Genetic Testing = Ethical Binary Combined Score (1 + 2)
Prenatal Genetic Testing  = Ethical Binary (1: Very Ethically Right vs others)
",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.awtqbi6j32ft,,
"Screening(Yes[Definitely Yes] / No [Others]) = Wish Early Diagnosis (Yes/No)
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.ded9xdn3homm,,
Chi Square Test: What affects how you feel about early helpand support (early intervention) -> Screening Choices,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.76ebme5wb3nr,,
"Exploded: Screening(Yes[Definitely Yes] / No [Others]) = “What effect would this have on your parenting or your family's plans?” (like quitting my job or moving states
/ others)",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.dxfs5yoz8n49,,
,,,,
Autism Knowledge Score: recalculated ,,,"Autism knowledge scores are calculated in 2 ways. There were 8 knowledge questions that we measured here:
tfa_genetics, tfa_vaccines, tfa_tylenol, tfa_medications, tfa_rate, tfa_behavior_age (need to verify the right answer),tfa_autistic_us, tfa_mult_kids_odds
 
First method: participants responding correctly to the knowledge questions gets 1 points otherwise no pints. Scores range from 0-8.

Second method (got significant result): The correct option will get 4 points. For the slider knowledge questions, teh responses can be from 1 - 4. The correct response will get 4 points and other responses will get 3, 2, 1 points accordingly. ","Mapping for Second Method: recalculated score
master_score_maps = {
    ""Unnamed: 122"": {1.0: 4, 2.0: 3, 3.0: 2, 4.0: 1},  # genetics
    ""Unnamed: 123"": {1.0: 1, 2.0: 2, 3.0: 3, 4.0: 4},  #vaccines
    ""Unnamed: 124"": {1.0: 1, 2.0: 2, 3.0: 3, 4.0: 4},  # tylenol
    ""Unnamed: 127"": {1.0: 4, 2.0: 3, 3.0: 2, 4.0: 1},  #medication
    ""  More children have an autism diagnosis compared to 20 years ago BECAUSE..."": {1.0: 4, 2.0: 3, 3.0: 2, 4.0: 1}
}"
Screening(Yes[Definitely Yes:69] / No [Others: 62]) = Autism Family * Autism Knowledge Score,Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.f3sxke2z360y,,
"Screening(Yes[Definitely Yes:69] / No [Others: 62]) = Autism Knowledge Score
",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.of00qbqg67s5,,
"Recalculated Autism Knowledge = Perceived Autism Knowledge, Parent Having Autism
",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.ei2ixehzer3b,,
,,,,
6/10,,,,
Screening = Accuracy * Autism Family,Not Significant; model p-value is significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.9ndx6p8qjens,,
