pipeline_booked,stat_expected,expected_low,expected_high,planning_expected,basis,month_label,month
3,4.5,2,7,4.5,model-expected (censoring-corrected),Feb-2029,2029-02
0,6.5,3,10,6.5,model-expected (censoring-corrected),Mar-2029,2029-03
0,4.0,2,7,4.0,model-expected (censoring-corrected),Apr-2029,2029-04
0,3.33,1,6,3.33,model-expected (censoring-corrected),May-2029,2029-05
0,4.67,2,8,4.67,model-expected (censoring-corrected),Jun-2029,2029-06
0,6.67,3,10,6.67,model-expected (censoring-corrected),Jul-2029,2029-07
0,10.0,6,14,10.0,model-expected (censoring-corrected),Aug-2029,2029-08
0,4.67,2,8,4.67,model-expected (censoring-corrected),Sep-2029,2029-09
1,4.33,2,7,4.33,model-expected (censoring-corrected),Oct-2029,2029-10
0,6.0,3,9,6.0,model-expected (censoring-corrected),Nov-2029,2029-11
0,5.0,2,8,5.0,model-expected (censoring-corrected),Dec-2029,2029-12
0,6.0,3,9,6.0,model-expected (censoring-corrected),Jan-2030,2030-01
0,4.5,2,7,4.5,model-expected (censoring-corrected),Feb-2030,2030-02
0,6.5,3,10,6.5,model-expected (censoring-corrected),Mar-2030,2030-03
0,4.0,2,7,4.0,model-expected (censoring-corrected),Apr-2030,2030-04
0,3.33,1,6,3.33,model-expected (censoring-corrected),May-2030,2030-05
0,4.67,2,8,4.67,model-expected (censoring-corrected),Jun-2030,2030-06
0,6.67,3,10,6.67,model-expected (censoring-corrected),Jul-2030,2030-07
0,10.0,6,14,10.0,model-expected (censoring-corrected),Aug-2030,2030-08
0,4.67,2,8,4.67,model-expected (censoring-corrected),Sep-2030,2030-09
0,4.33,2,7,4.33,model-expected (censoring-corrected),Oct-2030,2030-10
0,6.0,3,9,6.0,model-expected (censoring-corrected),Nov-2030,2030-11
0,5.0,2,8,5.0,model-expected (censoring-corrected),Dec-2030,2030-12
0,6.0,3,9,6.0,model-expected (censoring-corrected),Jan-2031,2031-01
0,4.5,2,7,4.5,model-expected (censoring-corrected),Feb-2031,2031-02
0,6.5,3,10,6.5,model-expected (censoring-corrected),Mar-2031,2031-03
0,4.0,2,7,4.0,model-expected (censoring-corrected),Apr-2031,2031-04
0,3.33,1,6,3.33,model-expected (censoring-corrected),May-2031,2031-05
0,4.67,2,8,4.67,model-expected (censoring-corrected),Jun-2031,2031-06
0,6.67,3,10,6.67,model-expected (censoring-corrected),Jul-2031,2031-07
0,10.0,6,14,10.0,model-expected (censoring-corrected),Aug-2031,2031-08
0,4.67,2,8,4.67,model-expected (censoring-corrected),Sep-2031,2031-09
0,4.33,2,7,4.33,model-expected (censoring-corrected),Oct-2031,2031-10
0,6.0,3,9,6.0,model-expected (censoring-corrected),Nov-2031,2031-11
0,5.0,2,8,5.0,model-expected (censoring-corrected),Dec-2031,2031-12
0,6.0,3,9,6.0,model-expected (censoring-corrected),Jan-2032,2032-01
